index,date,price,log_return,abs_log_return
ftse100,2020-03-12,5237.48,-0.11512428334613745,0.11512428334613745
ftse100,2008-11-24,4152.96,0.09384338736962405,0.09384338736962405
ftse100,2008-10-10,3932.06,-0.09265572462767047,0.09265572462767047
ftse100,2020-03-24,5446.01,0.08666806527666715,0.08666806527666715
ftse100,2008-09-19,5311.3,0.08469140651727614,0.08469140651727614
ftse100,2008-10-06,4589.19,-0.08177655266830541,0.08177655266830541
ftse100,2020-03-09,5965.77,-0.07998584319260438,0.07998584319260438
ftse100,2008-10-13,4256.9,0.0793777342704729,0.0793777342704729
ftse100,2008-10-29,4242.54,0.07744426468791055,0.07744426468791055
ftse100,2008-10-15,4079.59,-0.07429127209412378,0.07429127209412378
ftse250,2020-03-12,15717.42,-0.09820191297458436,0.09820191297458436
ftse250,2020-03-16,14349.75,-0.08109952474365478,0.08109952474365478
ftse250,2020-03-24,14172.73,0.08038750191468225,0.08038750191468225
ftse250,2008-09-19,8982.7,0.07462105557786458,0.07462105557786458
ftse250,2016-06-24,16088.05,-0.07456486179703248,0.07456486179703248
ftse250,2016-06-27,14967.86,-0.07217152473100263,0.07217152473100263
ftse250,2020-03-18,13008.19,-0.06809800908711416,0.06809800908711416
ftse250,2008-10-06,7474.79,-0.06734786098229684,0.06734786098229684
ftse250,2020-03-09,17547.15,-0.06611605819584199,0.06611605819584199
ftse250,2008-09-29,7792.93,-0.05995433285618468,0.05995433285618468
ftse_all_share,2020-03-12,2942.21,-0.110835590824518,0.110835590824518
ftse_all_share,2008-11-24,2064.68,0.08810745869576753,0.08810745869576753
ftse_all_share,2008-10-10,2012.97,-0.08709913732118846,0.08709913732118846
ftse_all_share,2020-03-24,2969.58,0.08490310965704762,0.08490310965704762
ftse_all_share,2008-09-19,2708.98,0.0816704125677461,0.0816704125677461
ftse_all_share,2008-10-06,2329.3,-0.07953202444029728,0.07953202444029728
ftse_all_share,2020-03-09,3334.86,-0.07676700006245518,0.07676700006245518
ftse_all_share,2008-10-29,2113.04,0.07316482575931449,0.07316482575931449
ftse_all_share,2008-10-13,2164.63,0.07263820273948074,0.07263820273948074
ftse_all_share,2008-10-15,2075.41,-0.07110716437899,0.07110716437899
