component,date,abs_value,target,path,qe
path,2022-02-03,0.16690512495023707,,0.16690512495023707,
path,2008-08-13,0.14341909065151948,,-0.14341909065151948,
path,2022-06-16,0.13411749545045498,,0.13411749545045498,
path,2003-05-15,0.12156761146076826,,-0.12156761146076826,
path,2003-02-06,0.12051529470491609,,-0.12051529470491609,
path,1999-02-04,0.11503166527889956,,0.11503166527889956,
path,2001-08-02,0.11391424223091237,,-0.11391424223091237,
path,2022-03-17,0.11080829942431884,,-0.11080829942431884,
path,2009-08-06,0.10505024405225646,,-0.10505024405225646,
path,2022-11-03,0.09739962243101696,,-0.09739962243101696,
qe,2020-03-19,0.16221288552434293,,,-0.16221288552434293
qe,2009-08-06,0.13841738319210833,,,-0.13841738319210833
qe,2009-02-11,0.138225021112532,,,-0.138225021112532
qe,2022-09-22,0.12574530139796247,,,0.12574530139796247
qe,2016-08-04,0.1192664084277022,,,-0.1192664084277022
qe,2009-07-09,0.1047490346331794,,,0.1047490346331794
qe,2022-05-05,0.10220499853194194,,,-0.10220499853194194
qe,2010-02-10,0.09726215143097187,,,-0.09726215143097187
qe,2009-05-07,0.09702847588373498,,,-0.09702847588373498
qe,2009-03-05,0.0911926086381143,,,-0.0911926086381143
target,2008-11-06,0.4210877147815764,-0.4210877147815764,,
target,1999-09-08,0.22628668691039638,0.22628668691039638,,
target,2008-12-04,0.211553567986004,0.211553567986004,,
target,2023-06-22,0.18728138932806296,0.18728138932806296,,
target,1998-06-04,0.18361755463974072,0.18361755463974072,,
target,2001-08-02,0.17286059469957427,-0.17286059469957427,,
target,2007-01-11,0.16623209894060123,0.16623209894060123,,
target,1999-02-04,0.16114125136613058,-0.16114125136613058,,
target,2022-09-22,0.16092382933955843,-0.16092382933955843,,
target,2003-02-06,0.1587882234160468,-0.1587882234160468,,
