shock,horizon,beta_pos,se_pos,ci_lower_pos,ci_upper_pos,beta_neg,se_neg,ci_lower_neg,ci_upper_neg,asymmetry_pvalue,nobs,r_squared
path,0,-0.0897026060079631,0.0365866780618303,-0.1614124950091505,-0.01799271700677571,0.010173917367121692,0.03027596618251624,-0.04916697635061014,0.06951481108485352,0.036543079483682815,7269,0.007856555056593773
path,1,-0.07286884667104153,0.04211718714239029,-0.1554185334701265,0.009680840128043433,0.011181307735857666,0.03950158000931394,-0.06624178908239765,0.08860440455411299,0.1456590339886567,7268,0.009950313567411051
path,2,-0.06607679406796174,0.04476579098220591,-0.15381774439308532,0.021664156257161837,0.05701246711708445,0.06328193008105513,-0.0670201158417836,0.1810450500759525,0.11174756584840928,7267,0.009259351122284043
path,3,-0.012140345135575782,0.05642289760900839,-0.12272922444923223,0.09844853417808067,-0.019557314498815537,0.04675420236491484,-0.11119555113404862,0.07208092213641755,0.9185350472203767,7266,0.007519859347957736
path,4,-0.021759074239897386,0.08079391860050841,-0.18011515469689388,0.13659700621709908,-0.047788604768746544,0.04743392506996393,-0.14075909790587585,0.045181888368382765,0.7781599027760866,7265,0.00873180247493821
path,5,-0.012667021148685065,0.09162698362309696,-0.1922559090499551,0.16692186675258497,0.014405618508392164,0.06399454046133343,-0.11102368079582137,0.1398349178126057,0.8072193153469422,7264,0.008161765847652824
path,6,-0.030724110001886906,0.06835022650602968,-0.16469055395370508,0.10324233394993126,0.05342483124231072,0.07717498861982122,-0.09783814645253887,0.20468780893716032,0.40858363617962845,7263,0.005577075647824059
path,7,-0.04053257330525237,0.07639843516694886,-0.19027350623247213,0.1092083596219674,0.008645856939107853,0.06843650995222679,-0.12548970256725664,0.14278141644547235,0.6279905850894025,7262,0.004322314870954802
path,8,0.036690870228570746,0.0790101726966149,-0.11816906825679445,0.19155080871393593,-0.07284147633958513,0.055927031096964334,-0.18245845728963522,0.03677550461046497,0.24675942038373244,7261,0.0046175628096288834
path,9,-0.001102632490059436,0.07052048895960965,-0.13932279085089433,0.13711752587077547,-0.0539043505371274,0.061265139359442854,-0.1739840236816354,0.06617532260738059,0.5593670062977667,7260,0.004644898520088425
path,10,-0.05257199867051814,0.07391164864348387,-0.19743883001174653,0.09229483267071023,-0.06019011386147424,0.07161724946990951,-0.20055992282249688,0.08017969509954839,0.940167742098686,7259,0.004723006809089658
path,11,-0.06592985862663454,0.07533762213268992,-0.2135915980067068,0.0817318807534377,-0.07307606498357933,0.07423053240162374,-0.21856790849076185,0.0724157785236032,0.9450218563616155,7258,0.004740659694536409
path,12,-0.00514011381764566,0.08569507439310496,-0.17310245962813137,0.16282223199284007,-0.0816112311619412,0.08477096659063275,-0.2477623256795814,0.084539863355699,0.5162767414799473,7257,0.005019256015661
path,13,0.010831273152550933,0.09696560988096219,-0.17922132221413495,0.20088386851923684,-0.056719781154878274,0.08526731364035288,-0.2238437158899699,0.11040415358021335,0.5953776817486793,7256,0.005016258271554719
path,14,0.013066997354749569,0.09722401240013286,-0.17749206694951083,0.20362606165900995,-0.04577444992027464,0.080657950057406,-0.2038640320327904,0.11231513219224111,0.6360689617852173,7255,0.004841527195879047
path,15,0.02469882260577746,0.11619472672866335,-0.2030428417824027,0.2524404869939576,-0.0830293811839231,0.0732119825637564,-0.22652486700888563,0.06046610464103945,0.4272434505048367,7254,0.0052149405530306225
path,16,0.05948610878391573,0.10010579611640039,-0.13672125160422904,0.2556934691720605,-0.11096237800618589,0.0824276346810659,-0.272520541981075,0.05059578596870326,0.18016894435131736,7253,0.006278230969549936
path,17,-0.04574846207323425,0.08564907537950535,-0.21362064981706472,0.12212372567059623,-0.15666745178198915,0.08086006552110389,-0.3151531802033528,0.0018182766393744776,0.33890436509385913,7252,0.006784619505223799
path,18,-0.07542801453505109,0.0922401780821785,-0.25621876357612094,0.10536273450601878,-0.16214409453542195,0.0773526734596896,-0.3137553345164136,-0.010532854554430315,0.46230539235562185,7251,0.006831557631847729
path,19,-0.046544806943484195,0.10386927595134599,-0.2501285878081223,0.15703897392115393,-0.16770859484926595,0.08218158514181349,-0.3287845017272204,-0.006632687971311502,0.3496015044360562,7250,0.006959798123520877
path,20,-0.05175160071211484,0.12448844584777383,-0.29574895457375155,0.19224575314952186,-0.13858067501378651,0.09036833026743475,-0.31570260233795866,0.038541252310385604,0.5627810330161468,7249,0.006864009993930442
